Configuration	BIOS
STM32CubeMX 	4.17.0
Date	10/22/2016
MCU	STM32F429NIHx



PERIPHERALS	MODES	FUNCTIONS	PINS
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 1	26 bits	FMC_A13	PG3
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 1	26 bits	FMC_A14	PG4
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 1	26 bits	FMC_A15	PG5
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 1	26 bits	FMC_A16	PD11
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 1	26 bits	FMC_A17	PD12
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 1	26 bits	FMC_A18	PD13
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 1	26 bits	FMC_A19	PE3
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 1	26 bits	FMC_A20	PE4
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 1	26 bits	FMC_A21	PE5
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 1	26 bits	FMC_A22	PE6
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 1	26 bits	FMC_A23	PE2
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 1	26 bits	FMC_A24	PG13
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 1	26 bits	FMC_A25	PG14
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 1	16 bits	FMC_D0	PD14
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 1	16 bits	FMC_D1	PD15
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 1	16 bits	FMC_D2	PD0
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 1	16 bits	FMC_D3	PD1
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 1	16 bits	FMC_D4	PE7
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 1	16 bits	FMC_D5	PE8
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 1	16 bits	FMC_D6	PE9
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 1	16 bits	FMC_D7	PE10
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 1	16 bits	FMC_D8	PE11
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 1	16 bits	FMC_D9	PE12
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 1	16 bits	FMC_D10	PE13
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 1	16 bits	FMC_D11	PE14
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 1	16 bits	FMC_D12	PE15
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 1	16 bits	FMC_D13	PD8
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 1	16 bits	FMC_D14	PD9
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 1	16 bits	FMC_D15	PD10
FMC:SDRAM 1	SDCKE0+SDNE0	FMC_SDCKE0	PH2
FMC:SDRAM 1	SDCKE0+SDNE0	FMC_SDNE0	PH3
FMC:SDRAM 1	2 banks	FMC_BA0	PG4
FMC:SDRAM 1	12 bits	FMC_A0	PF0
FMC:SDRAM 1	12 bits	FMC_A1	PF1
FMC:SDRAM 1	12 bits	FMC_A2	PF2
FMC:SDRAM 1	12 bits	FMC_A3	PF3
FMC:SDRAM 1	12 bits	FMC_A4	PF4
FMC:SDRAM 1	12 bits	FMC_A5	PF5
FMC:SDRAM 1	12 bits	FMC_A6	PF12
FMC:SDRAM 1	12 bits	FMC_A7	PF13
FMC:SDRAM 1	12 bits	FMC_A8	PF14
FMC:SDRAM 1	12 bits	FMC_A9	PF15
FMC:SDRAM 1	12 bits	FMC_A10	PG0
FMC:SDRAM 1	12 bits	FMC_SDCLK	PG8
FMC:SDRAM 1	12 bits	FMC_SDNCAS	PG15
FMC:SDRAM 1	12 bits	FMC_SDNRAS	PF11
FMC:SDRAM 1	12 bits	FMC_SDNWE	PH5
FMC:SDRAM 1	12 bits	FMC_A11	PG1
FMC:SDRAM 1	16 bits	FMC_D0	PD14
FMC:SDRAM 1	16 bits	FMC_D1	PD15
FMC:SDRAM 1	16 bits	FMC_D2	PD0
FMC:SDRAM 1	16 bits	FMC_D3	PD1
FMC:SDRAM 1	16 bits	FMC_D4	PE7
FMC:SDRAM 1	16 bits	FMC_D5	PE8
FMC:SDRAM 1	16 bits	FMC_D6	PE9
FMC:SDRAM 1	16 bits	FMC_D7	PE10
FMC:SDRAM 1	16 bits	FMC_D8	PE11
FMC:SDRAM 1	16 bits	FMC_D9	PE12
FMC:SDRAM 1	16 bits	FMC_D10	PE13
FMC:SDRAM 1	16 bits	FMC_D11	PE14
FMC:SDRAM 1	16 bits	FMC_D12	PE15
FMC:SDRAM 1	16 bits	FMC_D13	PD8
FMC:SDRAM 1	16 bits	FMC_D14	PD9
FMC:SDRAM 1	16 bits	FMC_D15	PD10
FMC:SDRAM 1	16-bit byte enable	FMC_NBL0	PE0
FMC:SDRAM 1	16-bit byte enable	FMC_NBL1	PE1
I2C1	I2C	I2C1_SCL	PB8
I2C1	I2C	I2C1_SDA	PB9
RCC	Crystal/Ceramic Resonator	RCC_OSC_IN	PH0/OSC_IN
RCC	Crystal/Ceramic Resonator	RCC_OSC_OUT	PH1/OSC_OUT
RCC	Crystal/Ceramic Resonator	RCC_OSC32_IN	PC14/OSC32_IN
RCC	Crystal/Ceramic Resonator	RCC_OSC32_OUT	PC15/OSC32_OUT
RTC	Activate Clock Source	RTC_VS_RTC_Activate	VP_RTC_VS_RTC_Activate
RTC	Activate Calendar	RTC_VS_RTC_Calendar	VP_RTC_VS_RTC_Calendar
SDIO	SD 4 bits Wide bus	SDIO_CK	PC12
SDIO	SD 4 bits Wide bus	SDIO_CMD	PD2
SDIO	SD 4 bits Wide bus	SDIO_D0	PC8
SDIO	SD 4 bits Wide bus	SDIO_D1	PC9
SDIO	SD 4 bits Wide bus	SDIO_D2	PC10
SDIO	SD 4 bits Wide bus	SDIO_D3	PC11
SPI2	Full-Duplex Master	SPI2_MISO	PI2
SPI2	Full-Duplex Master	SPI2_MOSI	PI3
SPI2	Full-Duplex Master	SPI2_SCK	PI1
SPI2	Hardware NSS Output Signal	SPI2_NSS	PI0
SYS	JTAG (5 pins)	SYS_JTCK-SWCLK	PA14
SYS	JTAG (5 pins)	SYS_JTDI	PA15
SYS	JTAG (5 pins)	SYS_JTDO-SWO	PB3
SYS	JTAG (5 pins)	SYS_JTMS-SWDIO	PA13
SYS	JTAG (5 pins)	SYS_JTRST	PB4
SYS	SysTick	SYS_VS_Systick	VP_SYS_VS_Systick
UART4	Asynchronous	UART4_RX	PA1
UART4	Asynchronous	UART4_TX	PA0/WKUP
UART7	Asynchronous	UART7_RX	PF6
UART7	Asynchronous	UART7_TX	PF7
USART1	Asynchronous	USART1_RX	PB7
USART1	Asynchronous	USART1_TX	PB6
USART1	CTS/RTS	USART1_CTS	PA11
USART1	CTS/RTS	USART1_RTS	PA12
USART2	Asynchronous	USART2_RX	PD6
USART2	Asynchronous	USART2_TX	PA2
USART2	CTS Only	USART2_CTS	PD3
USB_OTG_HS	OTG/Dual_Role_Device	USB_OTG_HS_DM	PB14
USB_OTG_HS	OTG/Dual_Role_Device	USB_OTG_HS_DP	PB15
USB_OTG_HS	OTG/Dual_Role_Device	USB_OTG_HS_ID	PB12
USB_OTG_HS	Activate-SOF	USB_OTG_HS_SOF	PA4
USB_OTG_HS	Activate-VBUS	USB_OTG_HS_VBUS	PB13



Pin Nb	PINs	FUNCTIONs	LABELs
A1	PE4	FMC_A20	
A2	PE3	FMC_A19	
A3	PE2	FMC_A23	
A4	PG14	FMC_A25	
A5	PE1	FMC_NBL1	
A6	PE0	FMC_NBL0	
A7	PB8	I2C1_SCL	
A9	PB4	SYS_JTRST	
A10	PB3	SYS_JTDO-SWO	
A11	PD7	FMC_NE1	
A12	PC12	SDIO_CK	
A13	PA15	SYS_JTDI	
A14	PA14	SYS_JTCK-SWCLK	
A15	PA13	SYS_JTMS-SWDIO	
B1	PE5	FMC_A21	
B2	PE6	FMC_A22	
B3	PG13	FMC_A24	
B4	PB9	I2C1_SDA	
B5	PB7	USART1_RX	
B6	PB6	USART1_TX	
B7	PG15	FMC_SDNCAS	
B11	PD6	USART2_RX	
B12	PD0	FMC_D2	
B13	PC11	SDIO_D3	
B14	PC10	SDIO_D2	
B15	PA12	USART1_RTS	
C10	PD5	FMC_NWE	
C11	PD3	USART2_CTS	
C12	PD1	FMC_D3	
C13	PI3	SPI2_MOSI	
C14	PI2	SPI2_MISO	
C15	PA11	USART1_CTS	
D2	PF0	FMC_A0	
D9	PG9	DAC_EXTI9	
D11	PD4	FMC_NOE	
D12	PD2	SDIO_CMD	
D14	PI1	SPI2_SCK	
E1	PC14/OSC32_IN	RCC_OSC32_IN	
E2	PF1	FMC_A1	
E14	PI0	SPI2_NSS	
F1	PC15/OSC32_OUT	RCC_OSC32_OUT	
F14	PC9	SDIO_D1	
G1	PH0/OSC_IN	RCC_OSC_IN	
G2	PF2	FMC_A2	
G14	PC8	SDIO_D0	
H1	PH1/OSC_OUT	RCC_OSC_OUT	
H2	PF3	FMC_A3	
H14	PG8	FMC_SDCLK	
J2	PF4	FMC_A4	
J3	PH5	FMC_SDNWE	
J4	PH3	FMC_SDNE0	
K1	PF7	UART7_TX	
K2	PF6	UART7_RX	
K3	PF5	FMC_A5	
K4	PH2	FMC_SDCKE0	
K13	PD15	FMC_D1	
K14	PB13	USB_OTG_HS_VBUS	
K15	PD10	FMC_D15	
L4	PC3	ADC1_IN13	
L12	PD14	FMC_D0	
L13	PB12	USB_OTG_HS_ID	
L14	PD9	FMC_D14	
L15	PD8	FMC_D13	
M2	PC0	ADC1_IN10	
M3	PC1	ADC1_IN11	
M4	PC2	ADC1_IN12	
M6	PF12	FMC_A6	
M7	PG1	FMC_A11	
M8	PF15	FMC_A9	
M10	PD12	FMC_A17	
M11	PD13	FMC_A18	
M12	PG3	FMC_A13	
M13	PG2	FMC_A12	
N2	PA1	UART4_RX	
N3	PA0/WKUP	UART4_TX	
N4	PA4	USB_OTG_HS_SOF	
N5	PC4	ADC1_IN14	
N6	PF13	FMC_A7	
N7	PG0	FMC_A10	
N9	PE8	FMC_D5	
N10	PD11	FMC_A16	
N11	PG5	FMC_A15	
N12	PG4	FMC_BA0 FMC_A14	
P2	PA2	USART2_TX	
P4	PA5	DAC_OUT2	
P5	PC5	ADC1_IN15	
P6	PF14	FMC_A8	
P8	PF11	FMC_SDNRAS	
P9	PE9	FMC_D6	
P10	PE11	FMC_D8	
P11	PE14	FMC_D11	
R8	PE7	FMC_D4	
R9	PE10	FMC_D7	
R10	PE12	FMC_D9	
R11	PE15	FMC_D12	
R12	PE13	FMC_D10	
R14	PB14	USB_OTG_HS_DM	
R15	PB15	USB_OTG_HS_DP	



SOFTWARE PROJECT

Project Settings : 
Project Name : BIOS
Project Folder : /home/bastian/Dokumente/NokiaRetrofit/Firmware/BIOS
Toolchain / IDE : SW4STM32
Firmware Package Name and Version : STM32Cube FW_F4 V1.13.1


Code Generation Settings : 
STM32Cube Firmware Library Package : Copy only the necessary library files
Generate peripheral initialization as a pair of '.c/.h' files per peripheral : No
Backup previously generated files when re-generating : No
Delete previously generated files when not re-generated : Yes
Set all free pins as analog (to optimize the power consumption) : No


Toolchains Settings : 
Compiler Optimizations : Balanced Size/Speed






